Date,Region,Category,Product,CustomerID,Revenue,Cost,Quantity
2025-01-01,North,Electronics,Epsilon,26,15742,2919,113
2025-01-01,North,Furniture,Epsilon,15,73119,30232,355
2025-01-01,North,Clothing,Gamma,27,50960,21623,496
2025-01-01,South,Electronics,Epsilon,8,83923,9955,454
2025-01-01,South,Furniture,Epsilon,6,50239,39627,199
2025-01-01,South,Clothing,Alpha,35,79040,33270,270
2025-01-01,East,Electronics,Beta,24,29035,27795,82
2025-01-01,East,Furniture,Delta,2,47688,8047,359
2025-01-01,East,Clothing,Epsilon,29,71300,8423,20
2025-01-01,West,Electronics,Beta,36,18760,7437,401
2025-01-01,West,Furniture,Epsilon,33,80413,35699,491
2025-01-01,West,Clothing,Delta,28,25961,23523,421
2025-02-01,North,Electronics,Epsilon,20,78401,25269,339
2025-02-01,North,Furniture,Beta,32,51210,15395,444
2025-02-01,North,Clothing,Gamma,22,82379,10239,282
2025-02-01,South,Electronics,Epsilon,30,80883,35612,333
2025-02-01,South,Furniture,Epsilon,21,56196,31499,45
2025-02-01,South,Clothing,Alpha,5,47795,7594,260
2025-02-01,East,Electronics,Delta,24,19770,3155,423
2025-02-01,East,Furniture,Epsilon,13,81623,18157,146
2025-02-01,East,Clothing,Epsilon,28,5647,5793,207
2025-02-01,West,Electronics,Epsilon,30,7330,4238,224
2025-02-01,West,Furniture,Gamma,13,70979,26174,382
2025-02-01,West,Clothing,Beta,30,17774,7354,27
2025-03-01,North,Electronics,Beta,13,59889,36479,431
2025-03-01,North,Furniture,Beta,24,82060,16924,243
2025-03-01,North,Clothing,Delta,7,17152,31141,95
2025-03-01,South,Electronics,Delta,29,56000,36611,257
2025-03-01,South,Furniture,Beta,13,14292,22333,430
2025-03-01,South,Clothing,Gamma,39,17075,35618,73
2025-03-01,East,Electronics,Epsilon,17,24491,26141,298
2025-03-01,East,Furniture,Beta,28,20402,28854,412
2025-03-01,East,Clothing,Beta,10,54421,17701,437
2025-03-01,West,Electronics,Beta,32,18198,32928,58
2025-03-01,West,Furniture,Beta,34,11101,37392,471
2025-03-01,West,Clothing,Gamma,11,24962,25067,166
2025-04-01,North,Electronics,Alpha,34,32236,25350,308
2025-04-01,North,Furniture,Epsilon,8,85625,20048,220
2025-04-01,North,Clothing,Epsilon,1,85940,4569,312
2025-04-01,South,Electronics,Alpha,35,84275,26587,372
2025-04-01,South,Furniture,Alpha,37,6948,25915,103
2025-04-01,South,Clothing,Beta,32,30223,16428,324
2025-04-01,East,Electronics,Gamma,15,38327,15950,456
2025-04-01,East,Furniture,Delta,14,38859,33777,341
2025-04-01,East,Clothing,Delta,5,66670,39471,135
2025-04-01,West,Electronics,Delta,31,84950,3658,420
2025-04-01,West,Furniture,Alpha,34,87440,11908,104
2025-04-01,West,Clothing,Beta,16,15646,16517,44
2025-05-01,North,Electronics,Epsilon,5,33716,23815,286
2025-05-01,North,Furniture,Delta,19,64576,29285,444
2025-05-01,North,Clothing,Beta,23,21402,37781,369
2025-05-01,South,Electronics,Alpha,5,62582,27484,320
2025-05-01,South,Furniture,Alpha,28,46979,16775,26
2025-05-01,South,Clothing,Epsilon,6,46064,18989,83
2025-05-01,East,Electronics,Epsilon,15,79694,35982,396
2025-05-01,East,Furniture,Beta,10,52779,38367,414
2025-05-01,East,Clothing,Alpha,36,6941,5540,394
2025-05-01,West,Electronics,Epsilon,34,67997,16639,149
2025-05-01,West,Furniture,Epsilon,9,41523,17047,319
2025-05-01,West,Clothing,Delta,23,86197,27010,237
2025-06-01,North,Electronics,Beta,34,31570,4491,91
2025-06-01,North,Furniture,Gamma,1,19920,39773,162
2025-06-01,North,Clothing,Epsilon,35,64587,39472,228
2025-06-01,South,Electronics,Beta,12,80557,15093,448
2025-06-01,South,Furniture,Alpha,10,16099,26107,188
2025-06-01,South,Clothing,Epsilon,3,60432,17934,94
2025-06-01,East,Electronics,Beta,11,16424,33610,247
2025-06-01,East,Furniture,Gamma,23,87857,9196,191
2025-06-01,East,Clothing,Epsilon,39,31953,35833,302
2025-06-01,West,Electronics,Alpha,13,30954,8820,352
2025-06-01,West,Furniture,Delta,16,43926,4707,188
2025-06-01,West,Clothing,Epsilon,38,79071,34011,36
2025-07-01,North,Electronics,Gamma,17,76465,14115,300
2025-07-01,North,Furniture,Gamma,11,32843,32855,244
2025-07-01,North,Clothing,Gamma,3,83776,28442,82
2025-07-01,South,Electronics,Epsilon,1,17913,36428,487
2025-07-01,South,Furniture,Beta,32,27065,33894,168
2025-07-01,South,Clothing,Gamma,1,38871,9572,411
2025-07-01,East,Electronics,Gamma,1,61192,37042,173
2025-07-01,East,Furniture,Epsilon,36,55005,27574,183
2025-07-01,East,Clothing,Alpha,23,45023,12483,405
2025-07-01,West,Electronics,Alpha,12,43773,29030,422
2025-07-01,West,Furniture,Epsilon,3,29669,13623,371
2025-07-01,West,Clothing,Gamma,9,45614,18474,155
2025-08-01,North,Electronics,Alpha,8,31230,19464,255
2025-08-01,North,Furniture,Epsilon,4,69752,27372,182
2025-08-01,North,Clothing,Epsilon,32,20664,27210,415
2025-08-01,South,Electronics,Delta,1,73636,33751,53
2025-08-01,South,Furniture,Gamma,6,28884,38673,223
2025-08-01,South,Clothing,Beta,26,24834,18998,117
2025-08-01,East,Electronics,Alpha,38,19105,17742,78
2025-08-01,East,Furniture,Alpha,23,23442,13597,173
2025-08-01,East,Clothing,Beta,39,67823,20372,417
2025-08-01,West,Electronics,Alpha,19,39566,13522,24
2025-08-01,West,Furniture,Gamma,32,81680,21533,486
2025-08-01,West,Clothing,Beta,27,10906,27111,193
2025-09-01,North,Electronics,Epsilon,29,16131,32656,267
2025-09-01,North,Furniture,Alpha,37,17842,15359,352
2025-09-01,North,Clothing,Delta,2,31196,25752,353
2025-09-01,South,Electronics,Delta,28,40107,3230,160
2025-09-01,South,Furniture,Epsilon,26,31301,10119,291
2025-09-01,South,Clothing,Gamma,13,12609,6014,353
2025-09-01,East,Electronics,Beta,25,21539,2818,412
2025-09-01,East,Furniture,Delta,38,42393,14340,475
2025-09-01,East,Clothing,Epsilon,26,39013,4891,111
2025-09-01,West,Electronics,Gamma,4,10022,14237,463
2025-09-01,West,Furniture,Alpha,1,82164,6216,89
2025-09-01,West,Clothing,Epsilon,37,68117,32714,490
2025-10-01,North,Electronics,Delta,2,29966,12627,432
2025-10-01,North,Furniture,Epsilon,28,36336,27370,312
2025-10-01,North,Clothing,Beta,27,45665,8079,460
2025-10-01,South,Electronics,Epsilon,21,80466,13301,310
2025-10-01,South,Furniture,Beta,19,20185,9479,283
2025-10-01,South,Clothing,Gamma,9,81662,11805,72
2025-10-01,East,Electronics,Alpha,19,11721,7037,447
2025-10-01,East,Furniture,Alpha,8,14092,6172,366
2025-10-01,East,Clothing,Alpha,38,63370,28415,351
2025-10-01,West,Electronics,Beta,31,10974,18503,447
2025-10-01,West,Furniture,Delta,11,56019,33015,322
2025-10-01,West,Clothing,Delta,8,22008,37398,273
2025-11-01,North,Electronics,Alpha,3,55535,7764,460
2025-11-01,North,Furniture,Alpha,1,78429,3131,249
2025-11-01,North,Clothing,Gamma,30,56919,21076,159
2025-11-01,South,Electronics,Delta,11,11555,16421,291
2025-11-01,South,Furniture,Delta,6,48904,18657,340
2025-11-01,South,Clothing,Gamma,20,57276,26344,12
2025-11-01,East,Electronics,Epsilon,38,51663,16587,444
2025-11-01,East,Furniture,Epsilon,36,19962,5241,222
2025-11-01,East,Clothing,Gamma,6,78123,31263,306
2025-11-01,West,Electronics,Epsilon,28,60554,29310,87
2025-11-01,West,Furniture,Alpha,22,24595,2064,20
2025-11-01,West,Clothing,Beta,34,49827,14319,405
2025-12-01,North,Electronics,Epsilon,34,81041,37019,131
2025-12-01,North,Furniture,Beta,35,50759,13887,453
2025-12-01,North,Clothing,Gamma,15,49534,21926,410
2025-12-01,South,Electronics,Alpha,6,82698,28646,398
2025-12-01,South,Furniture,Beta,33,72249,33760,435
2025-12-01,South,Clothing,Alpha,20,61018,3069,287
2025-12-01,East,Electronics,Alpha,28,5466,11487,372
2025-12-01,East,Furniture,Gamma,29,47387,28540,99
2025-12-01,East,Clothing,Alpha,25,29096,14839,186
2025-12-01,West,Electronics,Gamma,15,5753,37586,219
2025-12-01,West,Furniture,Alpha,2,7542,18194,252
2025-12-01,West,Clothing,Beta,24,56952,21268,311
2026-01-01,North,Electronics,Epsilon,37,72486,38944,79
2026-01-01,North,Furniture,Epsilon,2,21122,20047,87
2026-01-01,North,Clothing,Delta,12,46270,20008,420
2026-01-01,South,Electronics,Epsilon,33,39214,38147,486
2026-01-01,South,Furniture,Gamma,2,8500,37658,212
2026-01-01,South,Clothing,Alpha,3,83823,6255,443
2026-01-01,East,Electronics,Beta,7,14721,32600,411
2026-01-01,East,Furniture,Gamma,10,73965,13261,425
2026-01-01,East,Clothing,Gamma,9,66862,19585,248
2026-01-01,West,Electronics,Alpha,32,30367,13872,17
2026-01-01,West,Furniture,Alpha,31,78691,4298,442
2026-01-01,West,Clothing,Epsilon,1,24259,38342,268
2026-02-01,North,Electronics,Gamma,14,68853,3270,38
2026-02-01,North,Furniture,Epsilon,21,24751,23462,348
2026-02-01,North,Clothing,Alpha,18,66575,11458,45
2026-02-01,South,Electronics,Alpha,1,47845,23662,83
2026-02-01,South,Furniture,Beta,10,13833,37732,26
2026-02-01,South,Clothing,Gamma,27,24394,19427,79
2026-02-01,East,Electronics,Gamma,33,41646,9691,224
2026-02-01,East,Furniture,Alpha,22,35463,20433,152
2026-02-01,East,Clothing,Gamma,36,42002,6730,187
2026-02-01,West,Electronics,Gamma,27,60925,14807,329
2026-02-01,West,Furniture,Gamma,25,32692,4760,450
2026-02-01,West,Clothing,Alpha,26,55026,2088,88
2026-03-01,North,Electronics,Beta,36,13527,17777,84
2026-03-01,North,Furniture,Gamma,28,19124,6145,39
2026-03-01,North,Clothing,Alpha,9,24711,3316,446
2026-03-01,South,Electronics,Alpha,6,78439,36602,470
2026-03-01,South,Furniture,Epsilon,20,57163,36124,240
