Order ID,Order Date,Year,Month,Quarter,Customer ID,Product ID,User ID,Category,Quantity,Unit Price,Unit Cost,Gross Sales,Discount %,Discount Amount,Net Sales,Total Cost,Profit,Profit Margin %,Sales Channel,Order Status,Ship Date,Payment Method
ORD-00001,2022-02-23,2022,2,Q1,CUST-0081,PROD-0003,USER-016,Electronics,18,777.34,413.48,13992.12,5,699.61,13292.51,7442.64,5849.87,44.01,Online,Pending,2022-02-25,UPI
ORD-00002,2025-02-17,2025,2,Q1,CUST-0075,PROD-0069,USER-003,Food & Grocery,2,273.51,181.13,547.02,15,82.05,464.97,362.26,102.71,22.09,Direct Sales,Completed,2025-02-19,Credit Card
ORD-00003,2023-11-10,2023,11,Q4,CUST-0050,PROD-0048,USER-014,Beauty,14,415.31,206.62,5814.34,20,1162.87,4651.47,2892.68,1758.79,37.81,Direct Sales,Completed,2023-11-13,Credit Card
ORD-00004,2022-04-28,2022,4,Q2,CUST-0017,PROD-0024,USER-008,Home & Kitchen,18,704.05,388.98,12672.9,0,0.0,12672.9,7001.64,5671.26,44.75,Wholesale,Completed,2022-04-28,Credit Card
ORD-00005,2025-12-01,2025,12,Q4,CUST-0009,PROD-0075,USER-027,Office Supplies,13,794.13,431.59,10323.69,0,0.0,10323.69,5610.67,4713.02,45.65,Online,Completed,2025-12-03,Credit Card
ORD-00006,2023-02-24,2023,2,Q1,CUST-0073,PROD-0068,USER-018,Food & Grocery,5,333.98,180.53,1669.9,5,83.5,1586.4,902.65,683.75,43.1,Online,Completed,2023-02-28,Cash
ORD-00007,2025-05-26,2025,5,Q2,CUST-0083,PROD-0033,USER-007,Books,14,542.28,227.85,7591.92,0,0.0,7591.92,3189.9,4402.02,57.98,Retail Store,Returned,2025-05-28,PayPal
ORD-00008,2025-03-12,2025,3,Q1,CUST-0051,PROD-0018,USER-025,Home & Kitchen,5,692.73,487.84,3463.65,0,0.0,3463.65,2439.2,1024.45,29.58,Direct Sales,Completed,2025-03-14,Credit Card
ORD-00009,2025-09-25,2025,9,Q3,CUST-0057,PROD-0050,USER-023,Toys,5,960.94,417.8,4804.7,5,240.24,4564.46,2089.0,2475.46,54.23,Online,Completed,2025-09-28,Credit Card
ORD-00010,2025-11-15,2025,11,Q4,CUST-0097,PROD-0024,USER-030,Home & Kitchen,13,704.05,388.98,9152.65,10,915.26,8237.39,5056.74,3180.65,38.61,Direct Sales,Completed,2025-11-17,PayPal
ORD-00011,2022-08-09,2022,8,Q3,CUST-0029,PROD-0013,USER-014,Clothing,20,360.23,238.56,7204.6,0,0.0,7204.6,4771.2,2433.4,33.78,Wholesale,Completed,2022-08-14,Cash
