Product ID,Product Name,Category,Sub Category,Brand,Unit Cost,Unit Price,Profit Margin %,Stock Quantity,Reorder Level,Supplier,Weight (kg),Rating
PROD-0001,Laptop Pro,Electronics,Electronics - Standard,ActiveLife,347.08,808.7,57.08,447,89,SupplierC,17.16,4.92
PROD-0002,Wireless Earbuds,Electronics,Electronics - Lite,SmartChoice,163.38,320.22,48.98,855,14,SupplierA,7.04,3.66
PROD-0003,Smart Watch,Electronics,Electronics - Standard,ActiveLife,413.48,777.34,46.81,960,81,SupplierE,18.09,3.14
PROD-0004,4K Monitor,Electronics,Electronics - Pro,ValuePlus,494.77,1113.23,55.56,510,46,SupplierD,13.28,3.8
PROD-0005,Bluetooth Speaker,Electronics,Electronics - Lite,TechPro,452.75,624.79,27.54,818,29,SupplierA,16.33,4.78
PROD-0006,Tablet,Electronics,Electronics - Budget,TechPro,187.06,329.23,43.18,1608,48,SupplierB,5.62,4.29
PROD-0007,Webcam HD,Electronics,Electronics - Premium,StyleMax,420.43,870.29,51.69,1201,76,SupplierC,18.97,4.84
PROD-0008,Mechanical Keyboard,Electronics,Electronics - Lite,SmartChoice,499.9,824.83,39.39,1820,54,SupplierD,18.07,4.81
PROD-0009,Running Shoes,Clothing,Clothing - Standard,EcoGoods,281.56,422.34,33.33,357,75,SupplierD,19.16,3.56
PROD-0010,Denim Jacket,Clothing,Clothing - Premium,SmartChoice,215.33,295.0,27.01,1580,92,SupplierA,1.3,3.18
PROD-0011,Cotton T-Shirt,Clothing,Clothing - Premium,PrimeBase,111.51,189.57,41.18,1519,66,SupplierA,15.46,4.35
PROD-0012,Winter Coat,Clothing,Clothing - Standard,PrimeBase,86.05,151.45,43.18,1792,15,SupplierC,9.49,3.75
PROD-0013,Formal Shirt,Clothing,Clothing - Budget,ValuePlus,238.56,360.23,33.78,1669,44,SupplierB,14.8,4.1
PROD-0014,Yoga Pants,Clothing,Clothing - Lite,HomeEssentials,261.07,576.96,54.75,1433,54,SupplierD,0.23,4.68
PROD-0015,Leather Belt,Clothing,Clothing - Lite,ActiveLife,209.4,274.31,23.66,598,21,SupplierD,2.66,3.4
PROD-0016,Sports Shorts,Clothing,Clothing - Pro,HomeEssentials,438.4,1096.0,60.0,234,99,SupplierE,16.29,3.47
PROD-0017,Coffee Maker,Home & Kitchen,Home & Kitchen - Lite,ActiveLife,411.63,864.42,52.38,151,51,SupplierB,5.07,3.62
PROD-0018,Air Fryer,Home & Kitchen,Home & Kitchen - Standard,StyleMax,487.84,692.73,29.58,517,39,SupplierD,11.92,4.9
PROD-0019,Blender,Home & Kitchen,Home & Kitchen - Premium,TechPro,205.01,436.67,53.05,634,48,SupplierE,4.71,3.04
PROD-0020,Knife Set,Home & Kitchen,Home & Kitchen - Lite,StyleMax,257.88,484.81,46.81,357,95,SupplierD,3.93,3.01
PROD-0021,Vacuum Cleaner,Home & Kitchen,Home & Kitchen - Standard,TechPro,56.28,121.0,53.49,131,61,SupplierE,8.79,3.47
PROD-0022,Cookware Set,Home & Kitchen,Home & Kitchen - Premium,ValuePlus,140.45,316.01,55.56,1144,62,SupplierA,10.6,3.27
PROD-0023,Toaster Oven,Home & Kitchen,Home & Kitchen - Lite,ActiveLife,360.35,659.44,45.36,1685,89,SupplierB,3.47,4.84
PROD-0024,Bed Sheets,Home & Kitchen,Home & Kitchen - Pro,StyleMax,388.98,704.05,44.75,1748,16,SupplierA,17.73,4.39
PROD-0025,Yoga Mat,Sports,Sports - Pro,StyleMax,498.93,972.91,48.72,1718,55,SupplierA,2.93,4.14
